ID_FILM,TITRE,GENRES,TAGS
1,Toy Story,Animation|Aventure|Comédie|Familial,animation aventure comédie familial
2,Jumanji : Next Level,Aventure|Comédie|Fantastique,aventure comédie fantastique
3,Les Grincheux 2,Comédie|Romance,comédie romance
4,Où sont les hommes ?,Comédie|Drame|Romance,comédie drame romance
5,Le Père de la mariée II,Comédie|Familial,comédie familial
6,Heat,Action|Crime|Drame|Thriller,action crime drame thriller
7,Sabrina,Horreur|Thriller,horreur thriller
8,Tom et Huck,Action|Aventure|Drame|Familial,action aventure drame familial
9,Mort subite,Action|Aventure|Drame|Thriller,action aventure drame thriller
10,GoldenEye,Action|Aventure|Thriller,action aventure thriller
11,Le président et Miss Wade,Comédie|Drame|Romance,comédie drame romance
12,"Dracula, mort et heureux de l'être",Comédie|Fantastique|Horreur,comédie fantastique horreur
13,"Balto chien-loup, héros des neiges",Animation|Aventure|Familial,animation aventure familial
14,Nixon,Drame|Histoire,drame histoire
15,L'Île aux pirates,Action|Aventure,action aventure
16,Casino Royale,Action|Aventure|Thriller,action aventure thriller
17,Raison et Sentiments,Drame|Romance,drame romance
18,Groom service,Comédie|Crime,comédie crime
19,Ace Ventura en Afrique,Aventure|Comédie|Crime,aventure comédie crime
20,Money Train,Action|Comédie|Crime,action comédie crime
21,Get Shorty,Comédie|Crime|Thriller,comédie crime thriller
22,Copycat,Crime|Thriller,crime thriller
23,Assassins,Documentaire,documentaire
24,Powder,Drame|Fantastique|Science-Fiction|Thriller,drame fantastique science-fiction thriller
25,Leaving Las Vegas,Drame|Romance,drame romance
26,Othello,Drame,drame
27,Souvenirs d'un été,Comédie|Drame|Romance,comédie drame romance
28,Persuasion,Drame|Romance,drame romance
29,La Cité des enfants perdus,Aventure|Fantastique|Science-Fiction,aventure fantastique science-fiction
30,Shanghai Triad,Crime|Drame,crime drame
31,Esprits rebelles,Drame,drame
32,L'Armée des 12 singes,Mystère|Science-Fiction|Thriller,mystère science-fiction thriller
34,"Babe, le cochon devenu berger",Comédie|Drame|Familial|Fantastique,comédie drame familial fantastique
36,La Dernière Marche,Drame,drame
38,"Papa, j'ai une maman pour toi",Comédie|Familial|Romance,comédie familial romance
39,Clueless,Comédie|Romance,comédie romance
40,Cry Macho,Drame|Western,drame western
41,Richard III,Drame|Guerre,drame guerre
42,Génération sacrifiée,Action|Crime|Drame,action crime drame
43,Le Don du Roi,Drame|Romance,drame romance
44,Mortal kombat,Action|Aventure|Fantastique,action aventure fantastique
45,Prête à tout,Comédie|Crime|Drame,comédie crime drame
46,Le Patchwork de la vie,Drame|Romance,drame romance
47,Blanche-Neige et les Sept Nains,Animation|Familial|Fantastique,animation familial fantastique
48,Pocahontas : Une légende indienne,Animation|Aventure|Familial|Romance,animation aventure familial romance
49,Quand tombe la nuit,Drame|Romance,drame romance
50,Usual Suspects,Crime|Drame|Thriller,crime drame thriller
52,Maudite Aphrodite,Comédie|Romance,comédie romance
53,Lamerica,Drame,drame
54,Le grand vert,Action|Aventure|Comédie|Familial,action aventure comédie familial
55,"Mère-fille, mode d'emploi",Comédie|Drame|Romance,comédie drame romance
57,Week end en famille,Comédie|Drame|Romance,comédie drame romance
58,Postman,Action|Aventure|Guerre|Science-Fiction,action aventure guerre science-fiction
60,L'indien du placard,Aventure|Familial|Fantastique,aventure familial fantastique
61,Au-Delà des Lois,Crime|Thriller,crime thriller
62,Professeur Holland,Drame|Familial|Musique,drame familial musique
63,Spoof movie,Comédie,comédie
64,Pour l'amour de l'art,Comédie|Romance,comédie romance
65,Bio-Dome,Comédie,comédie
66,Le Cobaye 2,Science-Fiction,science-fiction
68,Gazon maudit,Comédie|Romance,comédie romance
69,Friday,Comédie,comédie
70,Une Nuit en Enfer,Action|Crime|Horreur|Thriller,action crime horreur thriller
71,Fair Game,Action|Romance|Thriller,action romance thriller
72,Match en famille,Comédie|Familial,comédie familial
74,Pluie de roses sur Manhattan,Drame|Romance,drame romance
75,Gros tyran,Comédie,comédie
76,Planète hurlante,Horreur|Science-Fiction,horreur science-fiction
77,Nico Icon,Documentaire,documentaire
78,Crossing Guard,Drame|Thriller,drame thriller
79,La Jurée,Thriller,thriller
80,Le Ballon blanc,Drame,drame
81,Dernières heures à Denver,Crime|Drame,crime drame
82,Antonia et ses filles,Comédie|Drame,comédie drame
83,Once Upon a Time... When We Were Colored,Drame|Romance,drame romance
85,Angels and Insects,Drame|Romance,drame romance
86,Lame de fond,Action|Aventure|Drame,action aventure drame
87,"Dunston, panique au palace",Aventure|Comédie|Familial,aventure comédie familial
88,Black Sheep,Comédie|Horreur,comédie horreur
89,Meurtre en suspens,Action|Crime|Thriller,action crime thriller
92,Mary Reilly,Drame|Histoire|Horreur|Thriller,drame histoire horreur thriller
93,Un Vampire à Brooklyn,Comédie|Horreur|Romance,comédie horreur romance
94,Beautiful Girls,Comédie|Drame|Romance,comédie drame romance
95,Broken Arrow,Action,action
96,Au beau milieu de l'hiver,Comédie,comédie
97,The Hate U Give - La Haine qu'on donne,Crime|Drame,crime drame
99,Heidi Fleiss: Hollywood Madam,Documentaire,documentaire
100,City Hall,Drame|Thriller,drame thriller
101,Tête Brûlée,Comédie|Crime|Drame,comédie crime drame
102,Mr. Wrong,Comédie|Romance,comédie romance
